Year,Region,Industry_Sector,CO2_Emissions_Metric_Tons,Methane_Emissions_Metric_Tons,Nitrous_Oxide_Emissions_Metric_Tons,Total_Energy_Consumption_MWh,Renewable_Energy_Consumption_MWh,Non_Renewable_Energy_Consumption_MWh,Total_Waste_Generated_Tons,Recycling_Rate_Percentage,CO2_Reduction_Target_Achieved_Percentage,Renewable_Energy_Goal_Achieved_Percentage,Waste_Reduction_Target_Achieved_Percentage
2003,South America,Construction,1109215,44303,13546,455739,295871,361397,33198,41,33,33,10
2019,Africa,Manufacturing,1168191,46772,15309,817603,205179,458796,28799,59,45,38,18
2002,Asia,Agriculture,2568430,49114,14316,864219,177700,404455,30577,61,8,22,12
2012,Europe,Agriculture,2039850,44842,12149,941649,299878,248735,37308,73,16,17,12
2003,Asia,Agriculture,3262649,34838,18523,647208,229856,431461,20667,45,19,16,18
2002,Europe,Construction,1350768,65815,18594,209637,16445,428440,22131,85,45,12,26
2016,Europe,Retail,2019964,80480,16235,1057343,92597,755904,32850,55,8,15,20
2013,Oceania,Transportation,2466861,56514,13359,714677,151972,260693,23730,90,30,24,12
2012,Europe,Transportation,1908205,79412,18780,1107584,198955,493458,32474,91,11,21,13
2004,Asia,Manufacturing,2548621,60607,11626,889838,142879,607648,22295,83,10,22,21
2014,Asia,Manufacturing,1472778,55365,12039,597694,89680,466080,20618,65,40,24,14
2013,Oceania,Retail,1307169,45728,13871,688575,185354,550438,24107,40,20,33,18
2002,Europe,Retail,1504038,36686,15848,1013938,274716,309998,23351,77,14,30,10
2014,Africa,Energy,819334,7139,18906,538438,146291,549911,20918,66,7,16,32
2012,South America,Transportation,2096595,58551,20239,617190,320969,331213,18591,56,28,12,17
2001,Africa,Energy,2000113,34272,24191,730009,126669,659549,22806,51,34,13,25
2004,Africa,Construction,2549704,21274,7045,682226,303739,422835,28243,42,21,31,17
2003,Africa,Manufacturing,1381008,58983,17451,888285,167971,529598,33444,70,30,22,23
2022,Europe,Transportation,392824,37572,13280,846452,82225,710999,8545,59,41,11,34
2021,North America,Manufacturing,2154832,72307,14045,714629,269564,945046,51705,43,39,19,11
2002,Europe,Transportation,1445922,49946,20965,523496,216001,455429,20961,46,24,21,31
2004,North America,Retail,2264441,68993,22882,927043,28756,579435,41925,50,36,20,29
2010,Asia,Retail,1984840,64517,20725,328412,89441,419609,10644,49,38,31,15
2015,Oceania,Construction,1937504,48118,19109,812614,158080,774584,38966,86,28,38,26
2003,Europe,Construction,2942492,59655,15505,818900,248612,562214,33051,56,35,23,22
2017,Africa,Construction,3039357,90961,25865,149293,237051,396129,28973,40,27,23,33
2012,Africa,Retail,1171703,37432,16819,756385,226224,513498,24621,55,42,32,31
2001,Africa,Manufacturing,2817146,45322,19607,427100,155150,152693,19316,48,17,23,23
2007,Oceania,Construction,2898148,38350,5146,340080,201247,180342,20469,48,44,16,22
2014,Asia,Transportation,1345575,52428,8803,841120,359299,464720,36921,44,47,30,14
2003,North America,Construction,1090698,54734,13761,752414,265245,516144,21829,73,24,38,25
2005,Europe,Agriculture,1279432,76234,15929,701895,352730,583147,25213,93,33,29,33
2016,Asia,Construction,1988763,36921,15557,864742,261776,335700,21122,89,7,17,18
2008,Africa,Manufacturing,1185538,54919,22933,264720,-9791,301076,23978,49,17,12,18
2012,Europe,Transportation,1891327,44099,6134,438393,195825,804789,20978,52,23,34,31
2021,South America,Retail,1860229,28325,8756,769344,181131,314063,18673,47,16,39,33
2019,Africa,Manufacturing,1904861,72470,20619,382400,243695,410088,18725,64,5,35,33
2012,North America,Manufacturing,2811159,44385,4596,190964,68728,407844,31246,54,42,28,32
2000,Africa,Transportation,822571,26199,10629,801045,74169,507228,23076,68,39,17,26
2019,Europe,Agriculture,2995782,50654,15105,534774,216360,589145,22138,86,26,36,23
2011,Africa,Retail,1270168,38013,12511,758186,309338,464753,31852,72,22,23,20
2021,Oceania,Construction,1414259,15475,25402,667393,116856,454211,13555,71,35,19,15
2014,Asia,Retail,2780762,64488,9933,582167,252245,456829,27065,46,40,38,13
2006,South America,Retail,1801742,38022,4457,943783,77030,588452,12129,52,29,13,20
2016,North America,Transportation,1912851,39382,15022,846177,145203,675083,14462,80,12,33,28
2016,Europe,Energy,594308,48692,20047,552217,310853,566496,37124,78,19,17,24
2014,Asia,Energy,1159469,80048,13287,817202,327160,473199,31221,83,35,14,14
2020,South America,Energy,3527848,82224,10025,744876,277332,480547,25058,93,5,13,17
2017,Europe,Construction,2899212,51190,21948,951394,80700,573542,7755,90,14,31,21
2010,North America,Manufacturing,998368,45096,16577,570620,258609,357801,10845,85,26,39,21
2007,Africa,Agriculture,1988590,68476,12366,945520,227895,576913,26308,88,43,10,11
2002,Asia,Manufacturing,1907840,63355,12670,601048,171880,452498,38082,79,34,12,33
2011,North America,Energy,1147551,52663,9885,1233713,216101,546761,9728,84,32,14,29
2011,Asia,Retail,2140353,64530,24592,728472,180524,621130,31746,77,23,15,16
2022,Asia,Retail,2353298,55989,15517,969075,86978,510473,23113,89,35,38,30
2011,South America,Transportation,1131646,32165,7054,810275,68807,351670,21874,58,19,13,27
2019,Asia,Retail,2383258,46668,17477,736066,220831,738990,31576,76,27,33,31
2022,Asia,Energy,1148403,70226,12823,712356,329749,725815,18834,79,41,13,25
2008,South America,Energy,964839,30863,14512,703303,235045,549859,26534,90,12,18,34
2011,North America,Energy,2396533,58408,12628,492537,201277,483976,14481,45,5,23,20
2001,Africa,Transportation,1752127,35874,13032,548414,133636,481035,18751,82,9,29,14
2004,North America,Manufacturing,2903868,39094,15825,604949,218603,808682,12558,52,48,38,16
2016,Europe,Manufacturing,1733068,61798,9460,692493,229012,459564,26748,70,11,26,28
2011,South America,Transportation,1902134,61617,18283,645310,324258,744579,23200,49,9,11,11
